date,rate,daily_factor,accumulated
2022-03-07,10.65,1.0004016754138976,1.0615288766317248
2022-03-08,10.65,1.0004016754138976,1.06195526668261
2022-03-09,10.65,1.0004016754138976,1.0623818280038955
2022-03-10,10.65,1.0004016754138976,1.0628085606643762
2022-03-11,10.65,1.0004016754138976,1.063235464732875
2022-03-14,10.65,1.0004016754138976,1.0636625402782423
2022-03-15,10.65,1.0004016754138976,1.0640897873693558
2022-03-16,10.65,1.0004016754138976,1.0645172060751216
2022-03-17,11.65,1.0004373924230159,1.064982817835229
2022-03-18,11.65,1.0004373924230159,1.0654486332503923
2022-03-21,11.65,1.0004373924230159,1.0659146524096887
2022-03-22,11.65,1.0004373924230159,1.0663808754022344
2022-03-23,11.65,1.0004373924230159,1.0668473023171843
2022-03-24,11.65,1.0004373924230159,1.0673139332437327
2022-03-25,11.65,1.0004373924230159,1.0677807682711127
2022-03-28,11.65,1.0004373924230159,1.0682478074885966
2022-03-29,11.65,1.0004373924230159,1.0687150509854955
2022-03-30,11.65,1.0004373924230159,1.0691824988511596
2022-03-31,11.65,1.0004373924230159,1.0696501511749783
2022-04-01,11.65,1.0004373924230159,1.0701180080463801
2022-04-04,11.65,1.0004373924230159,1.0705860695548324
2022-04-05,11.65,1.0004373924230159,1.071054335789842
2022-04-06,11.65,1.0004373924230159,1.0715228068409548
2022-04-07,11.65,1.0004373924230159,1.0719914827977557
2022-04-08,11.65,1.0004373924230159,1.072460363749869
2022-04-11,11.65,1.0004373924230159,1.0729294497869581
2022-04-12,11.65,1.0004373924230159,1.0733987409987256
2022-04-13,11.65,1.0004373924230159,1.0738682374749131
2022-04-14,11.65,1.0004373924230159,1.074337939305302
2022-04-18,11.65,1.0004373924230159,1.0748078465797126
2022-04-19,11.65,1.0004373924230159,1.0752779593880046
2022-04-20,11.65,1.0004373924230159,1.0757482778200769
2022-04-22,11.65,1.0004373924230159,1.0762188019658678
2022-04-25,11.65,1.0004373924230159,1.0766895319153549
2022-04-26,11.65,1.0004373924230159,1.0771604677585551
2022-04-27,11.65,1.0004373924230159,1.077631609585525
2022-04-28,11.65,1.0004373924230159,1.07810295748636
2022-04-29,11.65,1.0004373924230159,1.0785745115511955
2022-05-02,11.65,1.0004373924230159,1.079046271870206
2022-05-03,11.65,1.0004373924230159,1.0795182385336057
2022-05-04,11.65,1.0004373924230159,1.0799904116316479
2022-05-05,12.65,1.0004727922107446,1.0805010226859462
2022-05-06,12.65,1.0004727922107446,1.0810118751531737
2022-05-09,12.65,1.0004727922107446,1.0815229691474684
2022-05-10,12.65,1.0004727922107446,1.0820343047830228
2022-05-11,12.65,1.0004727922107446,1.0825458821740825
2022-05-12,12.65,1.0004727922107446,1.083057701434948
2022-05-13,12.65,1.0004727922107446,1.0835697626799734
2022-05-16,12.65,1.0004727922107446,1.0840820660235668
2022-05-17,12.65,1.0004727922107446,1.0845946115801908
2022-05-18,12.65,1.0004727922107446,1.0851073994643614
2022-05-19,12.65,1.0004727922107446,1.0856204297906495
2022-05-20,12.65,1.0004727922107446,1.0861337026736797
2022-05-23,12.65,1.0004727922107446,1.086647218228131
2022-05-24,12.65,1.0004727922107446,1.0871609765687367
2022-05-25,12.65,1.0004727922107446,1.0876749778102839
2022-05-26,12.65,1.0004727922107446,1.0881892220676144
2022-05-27,12.65,1.0004727922107446,1.0887037094556242
2022-05-30,12.65,1.0004727922107446,1.0892184400892635
2022-05-31,12.65,1.0004727922107446,1.089733414083537
2022-06-01,12.65,1.0004727922107446,1.0902486315535038
2022-06-02,12.65,1.0004727922107446,1.0907640926142772
2022-06-03,12.65,1.0004727922107446,1.091279797381025
2022-06-06,12.65,1.0004727922107446,1.0917957459689698
2022-06-07,12.65,1.0004727922107446,1.092311938493388
2022-06-08,12.65,1.0004727922107446,1.0928283750696108
2022-06-09,12.65,1.0004727922107446,1.0933450558130244
2022-06-10,12.65,1.0004727922107446,1.093861980839069
2022-06-13,12.65,1.0004727922107446,1.0943791502632394
2022-06-14,12.65,1.0004727922107446,1.094896564201085
2022-06-15,12.65,1.0004727922107446,1.0954142227682104
2022-06-17,13.15,1.000490374901192,1.0959513864094648
2022-06-20,13.15,1.000490374901192,1.0964888134622865
2022-06-21,13.15,1.000490374901192,1.0970265040558462
2022-06-22,13.15,1.000490374901192,1.0975644583193775
2022-06-23,13.15,1.000490374901192,1.0981026763821777
2022-06-24,13.15,1.000490374901192,1.0986411583736073
2022-06-27,13.15,1.000490374901192,1.09917990442309
2022-06-28,13.15,1.000490374901192,1.0997189146601138
2022-06-29,13.15,1.000490374901192,1.1002581892142291
2022-06-30,13.15,1.000490374901192,1.1007977282150507
2022-07-01,13.15,1.000490374901192,1.1013375317922565
2022-07-04,13.15,1.000490374901192,1.101877600075588
2022-07-05,13.15,1.000490374901192,1.1024179331948507
2022-07-06,13.15,1.000490374901192,1.1029585312799133
2022-07-07,13.15,1.000490374901192,1.1034993944607085
2022-07-08,13.15,1.000490374901192,1.1040405228672325
2022-07-11,13.15,1.000490374901192,1.1045819166295454
2022-07-12,13.15,1.000490374901192,1.105123575877771
2022-07-13,13.15,1.000490374901192,1.105665500742097
2022-07-14,13.15,1.000490374901192,1.1062076913527747
2022-07-15,13.15,1.000490374901192,1.1067501478401196
2022-07-18,13.15,1.000490374901192,1.1072928703345108
2022-07-19,13.15,1.000490374901192,1.1078358589663917
2022-07-20,13.15,1.000490374901192,1.1083791138662693
2022-07-21,13.15,1.000490374901192,1.1089226351647148
2022-07-22,13.15,1.000490374901192,1.1094664229923632
2022-07-25,13.15,1.000490374901192,1.110010477479914
2022-07-26,13.15,1.000490374901192,1.1105547987581303
2022-07-27,13.15,1.000490374901192,1.1110993869578396
2022-07-28,13.15,1.000490374901192,1.1116442422099335
2022-07-29,13.15,1.000490374901192,1.1121893646453678
2022-08-01,13.15,1.000490374901192,1.1127347543951625
2022-08-02,13.15,1.000490374901192,1.1132804115904018
2022-08-03,13.15,1.000490374901192,1.1138263363622345
2022-08-04,13.65,1.0005078803732619,1.114392026897695
2022-08-05,13.65,1.0005078803732619,1.114958004736276
2022-08-08,13.65,1.0005078803732619,1.1155242700238928
2022-08-09,13.65,1.0005078803732619,1.1160908229065352
2022-08-10,13.65,1.0005078803732619,1.1166576635302672
2022-08-11,13.65,1.0005078803732619,1.1172247920412266
2022-08-12,13.65,1.0005078803732619,1.117792208585626
2022-08-15,13.65,1.0005078803732619,1.1183599133097517
2022-08-16,13.65,1.0005078803732619,1.1189279063599646
2022-08-17,13.65,1.0005078803732619,1.1194961878827
2022-08-18,13.65,1.0005078803732619,1.120064758024467
2022-08-19,13.65,1.0005078803732619,1.1206336169318498
2022-08-22,13.65,1.0005078803732619,1.121202764751507
2022-08-23,13.65,1.0005078803732619,1.1217722016301712
2022-08-24,13.65,1.0005078803732619,1.12234192771465
2022-08-25,13.65,1.0005078803732619,1.1229119431518253
2022-08-26,13.65,1.0005078803732619,1.1234822480886535
2022-08-29,13.65,1.0005078803732619,1.1240528426721659
2022-08-30,13.65,1.0005078803732619,1.1246237270494683
2022-08-31,13.65,1.0005078803732619,1.1251949013677414
2022-09-01,13.65,1.0005078803732619,1.1257663657742403
2022-09-02,13.65,1.0005078803732619,1.1263381204162954
2022-09-05,13.65,1.0005078803732619,1.1269101654413116
2022-09-06,13.65,1.0005078803732619,1.1274825009967686
2022-09-08,13.65,1.0005078803732619,1.128055127230221
2022-09-09,13.65,1.0005078803732619,1.1286280442892986
2022-09-12,13.65,1.0005078803732619,1.129201252321706
2022-09-13,13.65,1.0005078803732619,1.129774751475223
2022-09-14,13.65,1.0005078803732619,1.1303485418977042
2022-09-15,13.65,1.0005078803732619,1.1309226237370793
2022-09-16,13.65,1.0005078803732619,1.131496997141353
2022-09-19,13.65,1.0005078803732619,1.132071662258606
2022-09-20,13.65,1.0005078803732619,1.132646619236993
2022-09-21,13.65,1.0005078803732619,1.133221868224745
2022-09-22,13.65,1.0005078803732619,1.1337974093701675
2022-09-23,13.65,1.0005078803732619,1.1343732428216418
2022-09-26,13.65,1.0005078803732619,1.1349493687276242
2022-09-27,13.65,1.0005078803732619,1.1355257872366469
2022-09-28,13.65,1.0005078803732619,1.1361024984973171
2022-09-29,13.65,1.0005078803732619,1.1366795026583176
2022-09-30,13.65,1.0005078803732619,1.1372567998684069
2022-10-03,13.65,1.0005078803732619,1.1378343902764188
2022-10-04,13.65,1.0005078803732619,1.1384122740312625
2022-10-05,13.65,1.0005078803732619,1.1389904512819236
2022-10-06,13.65,1.0005078803732619,1.1395689221774623
2022-10-07,13.65,1.0005078803732619,1.1401476868670155
2022-10-10,13.65,1.0005078803732619,1.1407267454997951
2022-10-11,13.65,1.0005078803732619,1.1413060982250893
2022-10-13,13.65,1.0005078803732619,1.141885745192262
2022-10-14,13.65,1.0005078803732619,1.1424656865507525
2022-10-17,13.65,1.0005078803732619,1.1430459224500769
2022-10-18,13.65,1.0005078803732619,1.1436264530398264
2022-10-19,13.65,1.0005078803732619,1.1442072784696684
2022-10-20,13.65,1.0005078803732619,1.1447883988893466
2022-10-21,13.65,1.0005078803732619,1.1453698144486804
2022-10-24,13.65,1.0005078803732619,1.1459515252975654
2022-10-25,13.65,1.0005078803732619,1.1465335315859735
2022-10-26,13.65,1.0005078803732619,1.1471158334639526
2022-10-27,13.65,1.0005078803732619,1.147698431081627
2022-10-28,13.65,1.0005078803732619,1.1482813245891967
2022-10-31,13.65,1.0005078803732619,1.1488645141369387
2022-11-01,13.65,1.0005078803732619,1.1494479998752059
2022-11-03,13.65,1.0005078803732619,1.1500317819544277
2022-11-04,13.65,1.0005078803732619,1.1506158605251098
2022-11-07,13.65,1.0005078803732619,1.1512002357378344
2022-11-08,13.65,1.0005078803732619,1.15178490774326
2022-11-09,13.65,1.0005078803732619,1.152369876692122
2022-11-10,13.65,1.0005078803732619,1.152955142735232
2022-11-11,13.65,1.0005078803732619,1.1535407060234786
2022-11-14,13.65,1.0005078803732619,1.1541265667078267
2022-11-16,13.65,1.0005078803732619,1.1547127249393176
2022-11-17,13.65,1.0005078803732619,1.15529918086907
2022-11-18,13.65,1.0005078803732619,1.155885934648279
2022-11-21,13.65,1.0005078803732619,1.1564729864282164
2022-11-22,13.65,1.0005078803732619,1.1570603363602308
2022-11-23,13.65,1.0005078803732619,1.157647984595748
2022-11-24,13.65,1.0005078803732619,1.1582359312862702
2022-11-25,13.65,1.0005078803732619,1.1588241765833773
2022-11-28,13.65,1.0005078803732619,1.1594127206387255
2022-11-29,13.65,1.0005078803732619,1.160001563604048
2022-11-30,13.65,1.0005078803732619,1.1605907056311555
2022-12-01,13.65,1.0005078803732619,1.1611801468719358
2022-12-02,13.65,1.0005078803732619,1.1617698874783535
2022-12-05,13.65,1.0005078803732619,1.1623599276024505
2022-12-06,13.65,1.0005078803732619,1.1629502673963459
2022-12-07,13.65,1.0005078803732619,1.1635409070122362
2022-12-08,13.65,1.0005078803732619,1.164131846602395
2022-12-09,13.65,1.0005078803732619,1.1647230863191735
2022-12-12,13.65,1.0005078803732619,1.165314626315
2022-12-13,13.65,1.0005078803732619,1.1659064667423804
2022-12-14,13.65,1.0005078803732619,1.166498607753898
2022-12-15,13.65,1.0005078803732619,1.1670910495022133
2022-12-16,13.65,1.0005078803732619,1.1676837921400651
2022-12-19,13.65,1.0005078803732619,1.168276835820269
2022-12-20,13.65,1.0005078803732619,1.1688701806957187
2022-12-21,13.65,1.0005078803732619,1.169463826919385
2022-12-22,13.65,1.0005078803732619,1.1700577746443173
2022-12-23,13.65,1.0005078803732619,1.1706520240236415
2022-12-26,13.65,1.0005078803732619,1.1712465752105625
2022-12-27,13.65,1.0005078803732619,1.1718414283583622
2022-12-28,13.65,1.0005078803732619,1.1724365836204007
