fund,date,proxy_return
Brave I FIC FIM CP,2022-06-15,-0.06352779882656238
Brave I FIC FIM CP,2022-06-17,-0.0628086632080783
Brave I FIC FIM CP,2022-06-20,-0.06258939402261758
Brave I FIC FIM CP,2022-06-21,-0.06368733145453313
Brave I FIC FIM CP,2022-06-22,-0.0644068310033417
Brave I FIC FIM CP,2022-06-23,-0.06313556045407523
Brave I FIC FIM CP,2022-06-24,-0.06220098014700702
Brave I FIC FIM CP,2022-06-27,-0.06373418162640494
Brave I FIC FIM CP,2022-06-28,-0.06361084223577929
Brave I FIC FIM CP,2022-06-29,-0.06314637158185744
Brave I FIC FIM CP,2022-06-30,-0.06244895400766577
Brave I FIC FIM CP,2022-07-01,-0.06312231700424535
Brave I FIC FIM CP,2022-07-04,-0.06593933672719729
Brave I FIC FIM CP,2022-07-05,-0.0646203929485341
Brave I FIC FIM CP,2022-07-06,-0.061675598048972324
Brave I FIC FIM CP,2022-07-07,-0.06191494132759309
Brave I FIC FIM CP,2022-07-08,-0.062064086668414564
Brave I FIC FIM CP,2022-07-11,-0.06202460551688864
Brave I FIC FIM CP,2022-07-12,-0.06361585636726831
Brave I FIC FIM CP,2022-07-13,-0.06190237789257543
Brave I FIC FIM CP,2022-07-14,-0.06335715873642253
Brave I FIC FIM CP,2022-07-15,-0.06545330464043855
Brave I FIC FIM CP,2022-07-18,-0.06553181213395216
Brave I FIC FIM CP,2022-07-19,-0.06507327397647233
Brave I FIC FIM CP,2022-07-20,-0.06545118565848602
Brave I FIC FIM CP,2022-07-21,-0.06410200034849953
Brave I FIC FIM CP,2022-07-22,-0.06714866796269214
Brave I FIC FIM CP,2022-07-25,-0.06890526656891091
Brave I FIC FIM CP,2022-07-26,-0.07055889864764878
Brave I FIC FIM CP,2022-07-27,-0.07082755020697686
Brave I FIC FIM CP,2022-07-28,-0.07156011080382511
Brave I FIC FIM CP,2022-07-29,-0.07411358247323359
Brave I FIC FIM CP,2022-08-01,-0.07893177090582387
Brave I FIC FIM CP,2022-08-02,-0.08026398746523171
Brave I FIC FIM CP,2022-08-03,-0.0825930680278278
Brave I FIC FIM CP,2022-08-04,-0.08131291424829402
Brave I FIC FIM CP,2022-08-05,-0.0819996943309007
Brave I FIC FIM CP,2022-08-08,-0.08044728178387155
Brave I FIC FIM CP,2022-08-09,-0.08511080096338454
Brave I FIC FIM CP,2022-08-10,-0.08790008660476063
Brave I FIC FIM CP,2022-08-11,-0.08673056829870453
Brave I FIC FIM CP,2022-08-12,-0.08723408733438975
Brave I FIC FIM CP,2022-08-15,-0.08770875914239674
Brave I FIC FIM CP,2022-08-16,-0.0857773420573163
Brave I FIC FIM CP,2022-08-17,-0.08455773453563316
Brave I FIC FIM CP,2022-08-18,-0.08685395638043883
Brave I FIC FIM CP,2022-08-19,-0.0881277678249164
Brave I FIC FIM CP,2022-08-22,-0.08788226571659197
Brave I FIC FIM CP,2022-08-23,-0.08737359537887299
Brave I FIC FIM CP,2022-08-24,-0.08700970944699625
Brave I FIC FIM CP,2022-08-25,-0.0869858216751271
Brave I FIC FIM CP,2022-08-26,-0.08818191966480297
Brave I FIC FIM CP,2022-08-29,-0.09058194916222359
Brave I FIC FIM CP,2022-08-30,-0.09159525288955404
